channel_name,subscribers,category,views_counts,video_count,started_year,revenue
SGV Digital  Kannada Full Movies,3880000,Entertainment,1453363899,1597,2015,36334097.0
Naveen Ricky,2180000,People & Blogs,1452111127,728,2020,36302778.0
chatpat toy tv,5630000,,1447581743,1432,2019,36189544.0
DRJ Records Movies,9570000,Film & Animation,1446223736,1038,2015,36155593.0
MX Player,3730000,Entertainment,1446188314,918,2011,36154708.0
Sidharth Music,3440000,Entertainment,1444126784,2216,2016,36103170.0
HooplaKidz TV  Funny Cartoons For Kids,3800000,Education,1440206024,1111,2012,36005151.0
Pocket Films,3750000,Film & Animation,1430088105,2505,2009,35752203.0
Maahi Queen,4490000,Entertainment,1428778649,198,2016,35719466.0
Prasadtechintelugu,4250000,Science & Technology,1428205264,4086,2015,35705132.0
Shree Jee  Bhakti,6530000,Music,1428186695,2681,2016,35704667.0
Flyingmeenaboi,4150000,,1426700580,293,2013,35667514.0
DRJ Records Zest,8650000,Entertainment,1426613215,782,2017,35665330.0
Zee Bihar Jharkhand,4250000,News & Politics,1415394271,50313,2014,35384857.0
Rhythm Boyz,3100000,Music,1413941505,203,2015,35348538.0
TsMadaan,12000000,Howto & Style,1413337704,2088,2008,35333443.0
India Forums,3590000,Entertainment,1410481186,14853,2010,35262030.0
ALTT,4330000,Entertainment,1401957787,4694,2016,35048945.0
Trending Theeviravadhi,4800000,Entertainment,1401407383,341,2020,35035185.0
Desi Version,3950000,Entertainment,1400234979,648,2014,35005874.0
Gotcha! Hindi,3330000,People & Blogs,1399052584,252,2021,34976315.0
AmdavadiMan Ni Duniya,2180000,People & Blogs,1396929996,426,2019,34923250.0
Shruti Shorts,2610000,Comedy,1394136954,467,2018,34853424.0
Bamb Beats,4150000,People & Blogs,1393458718,134,2017,34836468.0
Badge 99,10100000,Gaming,1393054225,729,2016,34826356.0
SIIMA,3270000,People & Blogs,1391848411,6948,2015,34796210.0
Riya Films,4100000,,1390265919,10427,2015,34756648.0
Bollywood pe Charcha,2050000,Entertainment,1389216396,5530,2017,34730410.0
Nakkalites,5190000,Comedy,1388039286,797,2017,34700982.0
Sri Balaji Comedy,2660000,Entertainment,1387799820,4214,2013,34694996.0
Official Deep Kaur Shorts,2380000,People & Blogs,1385120335,1138,2021,34628008.0
manoramaMAX,1860000,Entertainment,1385085257,11035,2019,34627131.0
GoldminesAction,12600000,Film & Animation,1384384953,1128,2015,34609624.0
Indian Farmer,4070000,Howto & Style,1382783727,1858,2018,34569593.0
FACT FIRE KING,14200000,,1382613867,842,2020,34565347.0
Official the jeet,5620000,Entertainment,1382034045,714,2021,34550851.0
Trakin Shorts,2550000,People & Blogs,1377710676,776,2021,34442767.0
Fukra Insaan,9040000,People & Blogs,1376833442,283,2019,34420836.0
IKRU Entertainments,2150000,Comedy,1376664434,742,2016,34416611.0
SVF Music,3310000,Music,1376060075,2037,2016,34401502.0
Rajshri Soul,3430000,Music,1374863233,1141,2009,34371581.0
Rojgar with Ankit,9880000,,1371205547,17653,2017,34280139.0
Aryan verma studios,4860000,Howto & Style,1369534100,427,2017,34238352.0
Wings Marathi,4560000,Entertainment,1368367087,2277,2010,34209177.0
Video Palace,2670000,Music,1366557951,921,2010,34163949.0
Too Much Facts,2770000,,1365869359,660,2020,34146734.0
COMEDY SONOTEK,4400000,People & Blogs,1363903930,1481,2016,34097598.0
Spread Love  Satheesh Shanmu,1620000,Entertainment,1362531369,957,2020,34063284.0
Sarpmitra Akash Jadhav,5340000,Pets & Animals,1361823533,745,2017,34045588.0
âRespect,2190000,Sports,1358969369,89,2021,33974234.0
DawsenTv  Bengali Stories & Rhymes,3360000,Film & Animation,1357237576,951,2013,33930939.0
Shemaroo Telugu,3070000,Entertainment,1357151455,12529,2009,33928786.0
Tanmay Bhat,4550000,Comedy,1353989207,956,2006,33849730.0
Manorama Music Songs,2560000,Music,1353727995,3362,2013,33843200.0
Nirahua Entertainment,3130000,Entertainment,1351150445,605,2017,33778761.0
VeerParul Official,2990000,Comedy,1350744849,782,2022,33768621.0
Sachet Parampara,4850000,Music,1348754433,386,2011,33718861.0
Pandit Pradeep Ji Mishra Sehore Wale,5970000,People & Blogs,1344100133,4875,2012,33602503.0
Universe Adventure,7690000,Science & Technology,1342127894,537,2016,33553197.0
Yuki Music,5090000,Music,1340423152,4616,2014,33510579.0
Jubin Nautiyal,5970000,Music,1339751253,175,2009,33493781.0
Sheethal And Vinu,1790000,Entertainment,1339293431,614,2021,33482336.0
Music Master | Tamil Songs | Ilayaraja,2450000,Music,1337759309,3705,2016,33443983.0
Jatt Life Studios,2850000,Music,1335362329,108,2018,33384058.0
